,SIGHTING_ID,OCCURRED_DATE,CITY,STATE,COUNTRY,SHAPE,SUMMARY,YEAR,CITYSTATE
14,15,2024-06-17,Gunnison,CO,USA,Light,Multiple craft flying in multiple directions even from straight up from the ground. Cows are losing it right now.,2024.0,"Gunnison, CO"
15,16,2024-06-17,Spicer City,CA,USA,Light,Have video of white light/formation. Then 7 star like lights sped away 30 second intervals,2024.0,"Spicer City, CA"
16,17,2024-06-17,Sacramento,CA,USA,Light,Comet like object,2024.0,"Sacramento, CA"
17,18,2024-06-17,Bainbridge,NY,USA,Changing,"It changed shape from square to zigzag, changed direction and ht, in my barnyard. Faced the coop and moved to front of my wood shed.",2024.0,"Bainbridge, NY"
18,19,2024-06-17,Deer Park,WA,USA,Unknown,It was about the length of a school bus shot straight up in the air and shot off to the north while getting very bright and left trail,2024.0,"Deer Park, WA"
19,20,2024-06-17,Yakima,WA,USA,Triangle,"Strange craft ""swimming"" in sky",2024.0,"Yakima, WA"
20,21,2024-06-16,Oyster Bay,NY,USA,Orb,Looked like 2 orbs spinning around each other. And reflecting sunlight as it’s spinning. No sound and floating like balloons very high,2024.0,"Oyster Bay, NY"
21,22,2024-06-16,Montclair,NJ,USA,Orb,Just noticed this in the sky while laying in the yard. It slowly moved across the sky until disappearing behind a tree.,2024.0,"Montclair, NJ"
22,23,2024-06-16,Anchor Point,AK,USA,Cigar,Large object hovering over summit of Redoubt volcano,2024.0,"Anchor Point, AK"
24,25,2024-06-16,Battle Creek,MI,USA,Oval,I saw a oval object with a very bright light zoom from behind me then stopped and disappeared.,2024.0,"Battle Creek, MI"
25,26,2024-06-15,West Milford,NJ,USA,Disk,Saw a large disk hovering -flying over the mountain top really close to the tree line and went up and over bearfort mountain.,2024.0,"West Milford, NJ"
26,27,2024-06-15,Richmond,CA,USA,Orb,Three orbs in a line coming up from the ground,2024.0,"Richmond, CA"
27,28,2024-06-15,Dillingham,AK,USA,Light,2 light naked eye thought they were stars but they moved,2024.0,"Dillingham, AK"
28,29,2024-06-15,Waterboro,ME,USA,Light,"A small bright light in the sky that appeared suddenly then faded away with no trail, and was moving slowly for ~5 seconds",2024.0,"Waterboro, ME"
29,30,2024-06-15,Palmer,AK,USA,Disk,My wife and I were leasing at Jim Lake near Palmer and saw this object and then we saw it in a picture I took.,2024.0,"Palmer, AK"
30,31,2024-06-15,Troy,MI,USA,Light,"Saw 2 flying objects that looked like planes, but were stopping and turning randomly in different directions.",2024.0,"Troy, MI"
31,32,2024-06-15,Alamogordo,NM,USA,Light,White orb hovering over mountain.,2024.0,"Alamogordo, NM"
32,33,2024-06-14,Los Angeles,CA,USA,Disk,We were laying in the front yard and looking up in the sky and my friend saw something shinny and bright and round.,2024.0,"Los Angeles, CA"
33,34,2024-06-14,Oldtown,KY,USA,Circle,It came down from the clouds then disappeared over the tree line heading almost true North .,2024.0,"Oldtown, KY"
34,35,2024-06-13,Boothbay,ME,USA,Unknown,Heard a giant boom then saw this very bright slowly rise up behind the trees. It got faster and faster.,2024.0,"Boothbay, ME"
35,36,2024-06-13,Pittsburgh,PA,USA,Light,Very bright light. It was still light out. The light stayed around for 5 to 10 minutes and then just disappeared,2024.0,"Pittsburgh, PA"
36,37,2024-06-13,Wills Point,TX,USA,Flash,"Walking home I seen white lights flash for an instant, above and in front of the moon.",2024.0,"Wills Point, TX"
37,38,2024-06-12,Pacifica,CA,USA,Orb,Triangle shaped aircraft made up of 3 bright blinking lights and one very faint light,2024.0,"Pacifica, CA"
38,39,2024-06-12,Orlando,FL,USA,Light,While driving back into town from the north I noticed a luminous craft over Downtown Orlando or slightly East of.,2024.0,"Orlando, FL"
39,40,2024-06-12,Charlotte,NC,USA,Sphere,"Viewed 4 metallic objects shaped like a football, smaller than a plane, but bigger than a car.",2024.0,"Charlotte, NC"
40,41,2024-06-12,Seattle,WA,USA,Unknown,Dark object that seems to have multiple shapes and genetic makeup (smokey yet also partly physical object),2024.0,"Seattle, WA"
41,42,2024-06-11,Round Hill,VA,USA,Orb,"Lights near the Big Dipper appear, travel with constant velocity, brighten to yellow and dim to white before disappearing.",2024.0,"Round Hill, VA"
42,43,2024-06-11,Winston-Salem,NC,USA,Light,Witnessed two flashing objects moving very erratically,2024.0,"Winston-Salem, NC"
43,44,2024-06-11,Pawleys Island,SC,USA,Light,"Bright, orange lights over the ocean seen with erratic, white lights.",2024.0,"Pawleys Island, SC"
44,45,2024-06-11,Portland,OR,USA,Light,Three bright lights in a triangle shape,2024.0,"Portland, OR"
45,46,2024-06-11,Lee,NH,USA,Light,Saw a light come into my yard,2024.0,"Lee, NH"
46,47,2024-06-11,Cookeville,TN,USA,Changing,Red and green lights were expanding and contracting repeatedly while also remaining in the same position in the sky,2024.0,"Cookeville, TN"
47,48,2024-06-10,Summerfield,NC,USA,Triangle,Bright Triangle Craft Hovering Next to Cloud,2024.0,"Summerfield, NC"
48,49,2024-06-10,Ocala,FL,USA,Changing,Group observed a helicopter circling a lighted object for several minutes. Object changed shape and departed rapidly to the east.,2024.0,"Ocala, FL"
49,50,2024-06-10,Glennville,GA,USA,Cylinder,Strange object caught on my home camera shooting across the sky.,2024.0,"Glennville, GA"
50,51,2024-06-10,La Pine,OR,USA,Orb,Orb shape that flickered or pulsed (visible to the naked eye) in the western sky as it moved erratically and randomly.,2024.0,"La Pine, OR"
51,52,2024-06-09,Coopersville,MI,USA,Light,"8-12 white lights in a straight, horizontal line just above the trees.",2024.0,"Coopersville, MI"
52,53,2024-06-09,Satellite Beach,FL,USA,Oval,I saw an oblong shaped white object above to my left that was low altitude moving from E to W with slight more westerly direction.,2024.0,"Satellite Beach, FL"
53,54,2024-06-09,Hillsboro,OR,USA,Oval,"Oval shaped object circled around directly above, then dipped down, changed form, became obscured by blurry air and disappeared.",2024.0,"Hillsboro, OR"
54,55,2024-06-09,New York,NY,USA,Sphere,silver sphere or disc hovering and rotating,2024.0,"New York, NY"
55,56,2024-06-08,Boone,NC,USA,Cigar,Craft moved rapidly lighting up on and off,2024.0,"Boone, NC"
56,57,2024-06-08,Corona,CA,USA,Light,"Light appears, bright, catching my attention…. Disappears instantly",2024.0,"Corona, CA"
57,58,2024-06-08,Willow Canyon,AZ,USA,Circle,"A long blue nebula like haze was spotted while driving down Mt. Lemmon, it turned into white lights (12-16) which rotated around a disc",2024.0,"Willow Canyon, AZ"
59,60,2024-06-08,Summerville,SC,USA,Oval,I saw one irregular black object. My picture shows up to 11 maybe more,2024.0,"Summerville, SC"
60,61,2024-06-08,Des Allemands,LA,USA,Flash,Flashing light hovering for several minutes above the cloud height that proceeded to move to the north west and vanishing,2024.0,"Des Allemands, LA"
61,62,2024-06-08,Brooksville,FL,USA,Light,Moving light shining down on me,2024.0,"Brooksville, FL"
62,63,2024-06-08,Colorado Springs,CO,USA,Light,Steady Horizontal Light,2024.0,"Colorado Springs, CO"
63,64,2024-06-07,Salt Lake City,UT,USA,Rectangle,3 photos taken seconds apart all timed stamped 12:35,2024.0,"Salt Lake City, UT"
64,65,2024-06-07,Orangevale,CA,USA,Triangle,Craft sighted two nights in row now,2024.0,"Orangevale, CA"
66,67,2024-06-07,North Arlington,NJ,USA,Disk,I look up for one second to look outside and I see a flying donut.,2024.0,"North Arlington, NJ"
67,68,2024-06-07,Manistique,MI,USA,Orb,Was gazing out window and saw strange lights over the lake,2024.0,"Manistique, MI"
68,69,2024-06-07,Calverton,NY,USA,Disk,Small grey arc got closer and closer and seemed to become gigantic disk shaped object,2024.0,"Calverton, NY"
69,70,2024-06-06,Leavenworth,IN,USA,Disk,UFO above the river.,2024.0,"Leavenworth, IN"
70,71,2024-06-06,Tigard,OR,USA,Cylinder,Observed a TicTac,2024.0,"Tigard, OR"
71,72,2024-06-05,Cedartown,GA,USA,Light,A strange light arrangement that is not seen on normal aircraft,2024.0,"Cedartown, GA"
72,73,2024-06-05,Raytown,MO,USA,Other,Flying object,2024.0,"Raytown, MO"
73,74,2024-06-05,Fort Leavenworth,KS,USA,Cylinder,While looking at vultures circling above I noticed something glinting sunlight above at approximately 65-70° that was silver and silent,2024.0,"Fort Leavenworth, KS"
74,75,2024-06-05,Spokane,WA,USA,Other,"Zooming at a blistering speed, a streak in the sky",2024.0,"Spokane, WA"
75,76,2024-06-05,Rock Island,WA,USA,Cylinder,I saw a large white cylinder in the sky over Rock Island Washington,2024.0,"Rock Island, WA"
76,77,2024-06-05,Lakewood,CO,USA,Changing,Crazy maneuvering,2024.0,"Lakewood, CO"
77,78,2024-06-05,Golden,CO,USA,Disk,We saw a large disc shaped craft with three levels of windows. It hovered silently and then disappeared into thin air.,2024.0,"Golden, CO"
79,80,2024-06-04,Merrill,IA,USA,Orb,Fast moving orbs of light,2024.0,"Merrill, IA"
80,81,2024-06-04,Kitty Hawk,NC,USA,Cigar,Family noticed a slow moving object with no sound. The object was red and faint to the eye. No sound and slow moving,2024.0,"Kitty Hawk, NC"
81,82,2024-06-03,Olathe,KS,USA,Formation,A line of hovering blinking lights,2024.0,"Olathe, KS"
82,83,2024-06-03,Laguna,NM,USA,Triangle,2 triangular (like a paper airplane) flying objects,2024.0,"Laguna, NM"
83,84,2024-06-03,Nashville,TN,USA,Changing,Morphing UAP,2024.0,"Nashville, TN"
84,85,2024-06-03,Marathon City,WI,USA,Changing,"Red non blinking, completely silent light that turned into 3",2024.0,"Marathon City, WI"
85,86,2024-06-03,Baxter,TN,USA,Orb,"An orb like object luminated white, or light yellow light intensely, close to the surface.",2024.0,"Baxter, TN"
86,87,2024-06-02,Omaha,NE,USA,Orb,"Orb dimming and brightening, then making high speed maneuvers.",2024.0,"Omaha, NE"
87,88,2024-06-02,Davenport,CA,USA,Diamond,In daylight a black object stopped in the sky,2024.0,"Davenport, CA"
88,89,2024-06-02,Kennesaw,GA,USA,Sphere,"Saw two objects in sky, one floated and one sped away within half a second.",2024.0,"Kennesaw, GA"
89,90,2024-06-02,Bloomington,IN,USA,Orb,Caught on Drone Video,2024.0,"Bloomington, IN"
90,91,2024-06-01,Hamburg,NJ,USA,Flash,High altitude stationary object reflecting sunlight every few seconds.,2024.0,"Hamburg, NJ"
91,92,2024-06-01,Tacoma,WA,USA,Disk,It was seen by two people and it was the best feeling ever,2024.0,"Tacoma, WA"
92,93,2024-06-01,Huntsville,TX,USA,Disk,Made strange movements then went 90 degrees right then 90 degrees left in about a second.,2024.0,"Huntsville, TX"
93,94,2024-06-01,Perkasie,PA,USA,Cigar,Cigar shaped and slow moving then silver sun reflection disappearing into low lying clouds,2024.0,"Perkasie, PA"
94,95,2024-06-01,East Hartford,CT,USA,Oval,"Large craft seen in the sky on Main Street in East Hartford, CT. Craft seen changing directions and hovering.",2024.0,"East Hartford, CT"
95,96,2024-05-31,Lincoln City,OR,USA,Unknown,Leaving store and seen a shimmering white object floating through the sky,2024.0,"Lincoln City, OR"
96,97,2024-05-31,Fresno,CA,USA,Other,High in the sky a circular dark white center with lighter white fan shape on either side of the circle,2024.0,"Fresno, CA"
97,98,2024-05-31,Apple Valley,CA,USA,Light,Second time seeing same craft in 7 day period,2024.0,"Apple Valley, CA"
98,99,2024-05-31,Red Rock,AZ,USA,Orb,"At night, a white glow.",2024.0,"Red Rock, AZ"
99,100,2024-05-31,Tonawanda,NY,USA,Orb,"Huge white Orb seen in Western NY that suddenly appeared, then moved Northwest and began to move away and fade away.",2024.0,"Tonawanda, NY"
102,103,2024-05-31,Tempe,AZ,USA,Circle,Round white object with white shaped aura around each side,2024.0,"Tempe, AZ"
103,104,2024-05-31,Lenoir,NC,USA,Circle,Rounded shiny object which disappeared after 3 min or so observation,2024.0,"Lenoir, NC"
104,105,2024-05-31,Sheboygan,WI,USA,Other,Saw what looked like a square box carrying a balloon underneath it traveling north,2024.0,"Sheboygan, WI"
105,106,2024-05-31,Myrtle Beach,SC,USA,Light,Blinking light. It blinked very fast every couple of seconds. Blinked so fast impossible to freeze frame to see it.,2024.0,"Myrtle Beach, SC"
106,107,2024-05-31,Hemet,CA,USA,Light,Bright White Light with Foggy Glow but clear skys,2024.0,"Hemet, CA"
107,108,2024-05-31,Lake Montezuma,AZ,USA,Circle,Saw a large light surrounded by mist or clouds. Moving -it disappeared then showed up across the sky with a big flare.,2024.0,"Lake Montezuma, AZ"
108,109,2024-05-31,Prescott,AZ,USA,Orb,"Small object seen hovering above with orb/fog like light surrounding it that changed in size, color, and intensity",2024.0,"Prescott, AZ"
109,110,2024-05-31,Tonto Basin,AZ,USA,Orb,"Orb of light floating from north to south. Extremely bright, orb of light around it like a plane in the clouds but there were no clouds",2024.0,"Tonto Basin, AZ"
110,111,2024-05-31,Dammeron Valley,UT,USA,Orb,"Too big to be a satellite, too big and fast to be a satellite or plane.",2024.0,"Dammeron Valley, UT"
112,113,2024-05-31,Camp Verde,AZ,USA,Diamond,Diamond shaped white center glow/haze,2024.0,"Camp Verde, AZ"
113,114,2024-05-31,Grass Valley,CA,USA,Circle,"No noise, one speed, no blinking lights and not a normal satellite orbit.",2024.0,"Grass Valley, CA"
114,115,2024-05-31,Summit,UT,USA,Orb,Bright white light with a blue orb moved low and slowly across sky before disappearing into blue dust.,2024.0,"Summit, UT"
115,116,2024-05-31,Tucson,AZ,USA,Orb,Hovering blurry orb with dilating pinpoint of white light in the center,2024.0,"Tucson, AZ"
116,117,2024-05-31,Maricopa,AZ,USA,Other,"Appeared west out of nowhere, no clouds in sky, flew steady above us east/ disappeared, reappeared for a few seconds then disappeared",2024.0,"Maricopa, AZ"
117,118,2024-05-31,Surprise,AZ,USA,Fireball,Looked like a huge fuzzy white object,2024.0,"Surprise, AZ"
118,119,2024-05-31,Henderson,NV,USA,Orb,Came out of the north Las Vegas Valley and headed south toward Anthem in Henderson NV a white ball with a bright light in the center,2024.0,"Henderson, NV"
119,120,2024-05-31,Flagstaff,AZ,USA,Light,"Inexplicable, variable very fast and bright pinpoint light moving faster than satellite, symmetric halo/no trail",2024.0,"Flagstaff, AZ"
120,121,2024-05-30,Croton-on-Hudson,NY,USA,Triangle,"A star I thought, that I was wishing on, and it suddenly moved to the left and hung there, then it moved to the right. Then back .",2024.0,"Croton-on-Hudson, NY"
121,122,2024-05-30,Oak Park,CA,USA,Orb,"Pinpoint of light appeared at mountain ridge, streaked across sky, grew bigger than the moon within 0.3 seconds",2024.0,"Oak Park, CA"
122,123,2024-05-30,Shingle Springs,CA,USA,Orb,Brilliant Round Orange light slowly coming in from the Southeast and heading Northwest.,2024.0,"Shingle Springs, CA"
123,124,2024-05-30,Junction City,OR,USA,Other,This has been ongoing,2024.0,"Junction City, OR"
124,125,2024-05-29,Windham,ME,USA,Light,Regular intervals: ≥8 lights traveled one at a time moving N to S high in atmosphere. No tail/flickering. Disappeared ⅝ way across.,2024.0,"Windham, ME"
126,127,2024-05-29,Milford,CT,USA,Changing,Saw an object go by very fast then came to a complete stop. It was changing shapes and looked like it had some kind of energy field,2024.0,"Milford, CT"
127,128,2024-05-29,Kinston,NC,USA,Cigar,It was 1 craft then it split in half.,2024.0,"Kinston, NC"
128,129,2024-05-29,Philadelphia,PA,USA,Star,I was sitting in my car writing music and watching the stars. I noticed one moving and recorded it traveling unusual pattern,2024.0,"Philadelphia, PA"
129,130,2024-05-28,Bayonne,NJ,USA,Oval,I was recording 2 military jets when I noticed 7 UAP’s,2024.0,"Bayonne, NJ"
130,131,2024-05-28,Lake George,NY,USA,Cube,Two “women” were walking down the road and two white cubes appeared and took them up into the sky and they disappeared.,2024.0,"Lake George, NY"
131,132,2024-05-28,Ormond Beach,FL,USA,Oval,"Oval-shaped, no wings, shiny chrome, flying higher than the airplanes",2024.0,"Ormond Beach, FL"
132,133,2024-05-27,Overland,MO,USA,Diamond,7 then 5 then one alone all white diamonds with bright red-orange inner circle no noise moved left to right all three groups vanished,2024.0,"Overland, MO"
133,134,2024-05-27,Susanville,CA,USA,Light,Pairs of white lights that slowly disappear going straight up,2024.0,"Susanville, CA"
134,135,2024-05-26,Northport,NY,USA,Disk,Saw a UAP at northport middle school on 5/26/24 at 5pm,2024.0,"Northport, NY"
135,136,2024-05-25,Mulberry,IN,USA,Light,Solid bright light that faded and disappeared,2024.0,"Mulberry, IN"
136,137,2024-05-25,Cumming,GA,USA,Cylinder,Very high up slow pulsing cylinder,2024.0,"Cumming, GA"
137,138,2024-05-25,Delhi,CA,USA,Cylinder,Saw a cylindrical object that was stationary and it disappeared,2024.0,"Delhi, CA"
138,139,2024-05-25,West Islip,NY,USA,Unknown,Weekend of Bethpage Airshow - was looking for anything in the sky. Saw UAP.,2024.0,"West Islip, NY"
140,141,2024-05-25,Paris,ME,USA,Circle,Saw craft with low light move quick across are observe. Then it look as if it turned on thrusters to push itself away into space,2024.0,"Paris, ME"
141,142,2024-05-24,Wantagh,NY,USA,Cigar,Cigar shape lasted 5 mins up in sky next to multiple planes that went by and when ran for camera and binoculars it disappeared,2024.0,"Wantagh, NY"
142,143,2024-05-24,Loomis,CA,USA,Sphere,"Recorded video of a glowing green-white orb over new Costco in Loomis, CA.",2024.0,"Loomis, CA"
143,144,2024-05-24,Chatham,NY,USA,Oval,Black stone like object disappear,2024.0,"Chatham, NY"
144,145,2024-05-23,Yukon,OK,USA,Oval,I went outside to check out some lights I thought were planets.,2024.0,"Yukon, OK"
145,146,2024-05-23,Menomonie,WI,USA,Rectangle,Long rectangular object with 4 rows/20 columns evenly spaced solid lights. Object not parallel but angled @ 20 degrees. Faded away.,2024.0,"Menomonie, WI"
146,147,2024-05-23,Mountain Ranch,CA,USA,Circle,Very slow smoothly moving craft that didnt blink,2024.0,"Mountain Ranch, CA"
147,148,2024-05-23,Visalia,CA,USA,Other,Star watching noticed a huge white light heading east.,2024.0,"Visalia, CA"
148,149,2024-05-23,Prescott Valley,AZ,USA,Orb,Bright orb surrounded by haze,2024.0,"Prescott Valley, AZ"
149,150,2024-05-23,Brentwood,CA,USA,Light,"The sky was totally clear, no clouds. Very bright light looked obscured with clouds despite no cloud coverage",2024.0,"Brentwood, CA"
150,151,2024-05-23,Big Bear,CA,USA,Sphere,UFO over Big Bear Mountains,2024.0,"Big Bear, CA"
152,153,2024-05-23,Upland,CA,USA,Circle,Round bright light. Cloudy conditions which reflect the light on the sides. Was moving at medium steady speed,2024.0,"Upland, CA"
153,154,2024-05-23,Auberry,CA,USA,Triangle,"Craft seen by two men on a cabin deck, no noise and a quick takeoff.",2024.0,"Auberry, CA"
155,156,2024-05-23,Buckeye,AZ,USA,Circle,Circular orb emitting white light,2024.0,"Buckeye, AZ"
156,157,2024-05-23,Las Vegas,NV,USA,Light,Walking west on Beauchamp and saw a dark craft with white lights on each side. Object was moving much faster than a plane.,2024.0,"Las Vegas, NV"
157,158,2024-05-23,Phoenix,AZ,USA,Orb,Glowing light that had a haze around it as if it was a cloudy night. Full moon not a cloud in the sky. Seemed to just be stationary.,2024.0,"Phoenix, AZ"
160,161,2024-05-22,Norwalk,CA,USA,Light,SoCal,2024.0,"Norwalk, CA"
163,164,2024-05-22,Annapolis,MD,USA,Oval,Blue Angels were flying over annapolis on the 22nd. Noticed a quick 'blip' for exactly one frame on watching the videos back.,2024.0,"Annapolis, MD"
165,166,2024-05-22,Loves Park,IL,USA,Sphere,"Small white sphere, moving fast then stopped then vanished",2024.0,"Loves Park, IL"
167,168,2024-05-22,Tumwater,WA,USA,Orb,"Moving east to west, retrograde, spread apart wide distribution, dozens over the hour plus, can see 5-9 in any given moment.",2024.0,"Tumwater, WA"
168,169,2024-05-22,Gilbert,AZ,USA,Changing,"Strange object in the sky, white with a haze around it moving slowly then high and fast moving from west to east and gained altitude",2024.0,"Gilbert, AZ"
169,170,2024-05-22,Santa Clarita,CA,USA,Orb,Saw it in the sky in my backyard. It was a blueish white glow that was moving steadily from the west going east. No Sound.,2024.0,"Santa Clarita, CA"
170,171,2024-05-22,Queen Creek,AZ,USA,Light,"Bright as the moon,traveled, faded , then disappeared",2024.0,"Queen Creek, AZ"
171,172,2024-05-22,Cave Creek,AZ,USA,Orb,"Silent, bright white orb traveling overhead and focusing a beam in different directions",2024.0,"Cave Creek, AZ"
172,173,2024-05-22,Pinole,CA,USA,Orb,It was two lights one above the other. Very close in proximity. Bigger one on bottom. With a haze like ora around them. Static,2024.0,"Pinole, CA"
175,176,2024-05-22,Mesa,AZ,USA,Light,"Foggy light, no sound, moving extremely slow then went up and disappeared",2024.0,"Mesa, AZ"
176,177,2024-05-22,Kissimmee,FL,USA,Star,What I thought was a star appeared and then started moving across the sky slowly and then dissipated,2024.0,"Kissimmee, FL"
177,178,2024-05-22,Paulden,AZ,USA,Formation,"When I walked outside, there was a diagonal line formation of lights, similar to the Phoenix Lights, 5 turned into 4, into 3, into 0",2024.0,"Paulden, AZ"
178,179,2024-05-22,Alafaya,FL,USA,Cigar,"Bright yellow light, low in the sky, could see it was long as I got closer, it wasn’t moving",2024.0,"Alafaya, FL"
179,180,2024-05-22,Lake Sumner,NM,USA,Orb,9 orange orbs in 3 groups,2024.0,"Lake Sumner, NM"
181,182,2024-05-21,Carlisle,PA,USA,Oval,Myself and my spouse witnessed an unusual metallic object moving quickly in a straight line.,2024.0,"Carlisle, PA"
182,183,2024-05-21,Bartow,FL,USA,Cone,"No noise, flew in side by side formation then stacked formation until disappeared.",2024.0,"Bartow, FL"
183,184,2024-05-21,New Cumberland,PA,USA,Orb,While outside my home there was a person nearby that drew my attention and this is when I noticed what looked like an airplane light.,2024.0,"New Cumberland, PA"
184,185,2024-05-21,Los Altos,CA,USA,Triangle,Black triagle flying south,2024.0,"Los Altos, CA"
186,187,2024-05-20,Dundalk,MD,USA,Rectangle,I saw an object falling quickly from the sky,2024.0,"Dundalk, MD"
187,188,2024-05-20,Owings Mills,MD,USA,Circle,Rapidly accelerating object moving through big dipper to south approached by 2 objects coming from the south in a sweeping motion,2024.0,"Owings Mills, MD"
188,189,2024-05-20,Manteca,CA,USA,Cube,"Unknown object in the sky in Manteca, CA",2024.0,"Manteca, CA"
189,190,2024-05-20,Helena,MT,USA,Cylinder,Craft flew over the Lewis and Clark Valley in Montana,2024.0,"Helena, MT"
190,191,2024-05-20,Glendale,AZ,USA,Triangle,3 glowing orbs seemingly connected in triangle moving VERY fast,2024.0,"Glendale, AZ"
192,193,2024-05-19,Springfield,MO,USA,Star,Erratically moving star-like light in the sky zig-zagging from one side of the sky to another.,2024.0,"Springfield, MO"
193,194,2024-05-18,El Paso,TX,USA,Orb,"I was outside talking with neighbors, happened to look up and noticed objects dancing around before instantly disappearing",2024.0,"El Paso, TX"
195,196,2024-05-18,Glen Rose,TX,USA,Light,Bright white let then white with red lights.,2024.0,"Glen Rose, TX"
196,197,2024-05-18,Hurricane,WV,USA,Chevron,Saw strange V shaped object that appeared to be coming down,2024.0,"Hurricane, WV"
197,198,2024-05-18,Schaumburg,IL,USA,Flash,A solid white meteor like object with long solid white tail,2024.0,"Schaumburg, IL"
198,199,2024-05-17,Lake Placid,FL,USA,Fireball,"Orange contrail, disappeared; reappeared white; huge translucent teardrop, then 2-3 small lights detached, traveling within the firebal",2024.0,"Lake Placid, FL"
199,200,2024-05-17,Denver,CO,USA,Changing,Metallic sparkling shape shifting object spotted overhead moving at speed of jet from west to east a straight line viewed with binocs,2024.0,"Denver, CO"
200,201,2024-05-17,Chicago,IL,USA,Circle,"Object embedded in cloud, 2nd from bottom",2024.0,"Chicago, IL"
201,202,2024-05-17,Hugo,CO,USA,Oval,Reached for phone after viewing object for over a minute ,2024.0,"Hugo, CO"
202,203,2024-05-16,Gerlach,NV,USA,Triangle,Large triangular object with series of three bright lights and two dimmer lights appearing underneath the two bright lights at the rear,2024.0,"Gerlach, NV"
203,204,2024-05-16,Atlanta,GA,USA,Cylinder,"I was taking pictures of the sunset from the wing of the plane and saw two objects, one pear or egg-shaped and one cylindrical",2024.0,"Atlanta, GA"
205,206,2024-05-16,Comer,GA,USA,Orb,"They appear, get brighter, really bright, fade out while moving in random directions in the same vicinity, like a swarm of lights.",2024.0,"Comer, GA"
207,208,2024-05-15,Bozeman,MT,USA,Unknown,"Object was slowly moving South / South West over the Bridger Mountain Range just outside Bozeman, MT.",2024.0,"Bozeman, MT"
208,209,2024-05-15,El Dorado Hills,CA,USA,Formation,They were a tube of lights that came in and out of the ground,2024.0,"El Dorado Hills, CA"
209,210,2024-05-15,Buhl,ID,USA,Orb,I saw a fairly large orb with five flashing rainbow lights over my friends neighbors house,2024.0,"Buhl, ID"
211,212,2024-05-15,Raleigh,NC,USA,Unknown,Lights in sky flying low,2024.0,"Raleigh, NC"
212,213,2024-05-14,Gastonia,NC,USA,Unknown,A black slow spinning object that was flashing floated up and out of sight while slowly spinning.,2024.0,"Gastonia, NC"
213,214,2024-05-14,Boston,MA,USA,Sphere,I saw a quickly gliding wobbling hockey puck looking UAP/UFO flying in a straight line high in the sky but lower than an airplane.,2024.0,"Boston, MA"
215,216,2024-05-13,Sarasota,FL,USA,Oval,It was flying like a plane but was flat as a pancake.,2024.0,"Sarasota, FL"
216,217,2024-05-13,Batesburg-Leesville,SC,USA,Diamond,"Diamond shaped, matte dark grey, solid, massive",2024.0,"Batesburg-Leesville, SC"
217,218,2024-05-12,White Rock,NM,USA,Rectangle,Black rectangular craft with red lights breaks sound barrier with no sound.,2024.0,"White Rock, NM"
218,219,2024-05-12,Smithton,IL,USA,Sphere,Object recorded by my security camera while I was sleeping,2024.0,"Smithton, IL"
219,220,2024-05-12,Page,AZ,USA,Circle,Mysterious Glowing Circles Captured Above My Head in Vacation Photo,2024.0,"Page, AZ"
220,221,2024-05-12,Honolulu,HI,USA,Orb,Six orbs moving north in a formation,2024.0,"Honolulu, HI"
222,223,2024-05-12,Otto,NC,USA,Flash,First sighting was 5/11/24. Looked in sky to see northern lights. Then saw the light flashes. The lights continued for 4 days.,2024.0,"Otto, NC"
